rid,content.taskCost,content.taskAssignee,content.taskName,content.team,content.taskId,content.taskStatus,content.Profile
01768431-8056-4ce6-b042-ec2f3f9b4f73,765,Jane,TASK: Client Data Onboarding,teamA,7297,Not Started,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTB8fG1hbiUyMGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D
196e6873-09a4-41c9-ad2b-e50d3ca59ddc,475,Nadia,TASK: Budget Forecast Data Capture,teamC,7654,Complete,https://images.unsplash.com/photo-1664575602554-2087b04935a5?w=800&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8d29tYW58ZW58MHx8MHx8fDA%3D
2ba3691c-d87e-4f1e-958a-7331a0df5129,657,Hazel,TASK: Transaction Data Import,teamB,9876,Complete,https://images.unsplash.com/photo-1544725176-7c40e5a71c5e?q=80&w=2967&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
36710a9d-b7d6-4efe-b7d8-a5edc7c77102,432,Paul,TASK: Financial Statement Data Extraction,teamA,6195,In Progress,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8d29tYW4lMjBhdmF0YXJ8ZW58MHx8MHx8fDA%3D
3c3b64e6-d6a9-485b-83f7-5934f40aad1c,3422,Hazel,TASK: Customer Demographics Capture,teamB,55431,Not Started,https://images.unsplash.com/photo-1544725176-7c40e5a71c5e?q=80&w=2967&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
407187c0-ff8c-4811-954c-b35131b0b5d0,50,Jane,TASK: Expense Report Collection,teamA,2345,In Progress,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTB8fG1hbiUyMGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D
42c06d19-734a-4e2d-b50d-1910c6dea22b,265,John,TASK: Revenue Data Aggregation,teamA,6483,Complete,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fG1hbiUyMGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D
473ad883-f0f0-41c3-9973-b49b7177498b,665,Ken,TASK: Tax Document Upload,teamC,4524,In Progress,https://images.unsplash.com/photo-1568602471122-7832951cc4c5?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8bWFuJTIwYXZhdGFyfGVufDB8fDB8fHww
507d7664-e3e5-484f-81ad-04ef26b708ad,235,Nadia,TASK: Profit & Loss Data Entry,teamC,3345,In Progress,
a11889b5-908a-48be-9a5b-c19754de9c19,155,Paul,TASK: Payment History Recording,teamA,9975,Complete,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8d29tYW4lMjBhdmF0YXJ8ZW58MHx8MHx8fDA%3D
a86167e1-3989-4478-b357-3101bebd058d,425,John,TASK: Bank Reconciliation Data Input,teamA,12343,Not Started,
c42f22d0-0b78-4070-aa35-80a6415e81a6,789,Paul,TASK: Credit Score Retrieval Integration,teamA,23455,Complete,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8d29tYW4lMjBhdmF0YXJ8ZW58MHx8MHx8fDA%3D
cfcf1868-20b5-4619-927a-b1198b626e1d,234,Paul,TASK: Investment Portfolio Data Import,teamA,5877,Complete,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8d29tYW4lMjBhdmF0YXJ8ZW58MHx8MHx8fDA%3D
ee776242-6c02-445e-81d5-00c1b82feb49,145,Simon,TASK: Loan Application Data Capture,teamB,34565,In Progress,https://images.unsplash.com/photo-1566492031773-4f4e44671857?w=800&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NXx8bWVuJTIwYXZhdGFyc3xlbnwwfHwwfHx8MA%3D%3D
fd91f331-9556-4ca6-8867-e0a391964de5,670,Jane,TASK: Invoice Data Automation,teamA,5890,Complete,
