content.area,content.description,content.hourlyrate,content.illustration,content.image,content.indoor,content.onceoffrate,content.service,content.time,id
Bathroom,Steam cleaning and disinfecting of the bathroom in its totality. Provision of fresh towels.,30,http://clipart-library.com/newimages/bathroom-clip-art-15.jpg,https://images.unsplash.com/photo-1646592472335-fa6be8e9bc7c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1471&q=80,TRUE,,Bathroom Deep Clean,90,0779edf9-4d02-441b-b6e2-0a08ab862359
Garden,Taking care of general gardening to provide an immaculate first impression,,http://clipart-library.com/images/6Tr8BrjTK.jpg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,FALSE,100,Gardening,120,175e2439-4a6d-4b4e-bfd5-b97b00be6204
General,Cleaning and streak removal of external windows,35,http://clipart-library.com/img1/872145.png,https://images.unsplash.com/photo-1650538250295-6ef68d7ae1f4?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,FALSE,,Window Cleaning - External,60,192bd3fb-d988-4a84-ada4-7c02e1f79a2d
Driveway,Car wash including vacuum,,http://clipart-library.com/new_gallery/9-95271_car-wash-comments-car-dry-wash-icon.png,https://images.unsplash.com/photo-1520340356584-f9917d1eea6f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1631&q=80,FALSE,50,Car Washing,60,1fd98bee-4444-45a9-959a-eab75ba9ecd2
Laundry,Provision of laundry services by removal of laundry and return of laundry. Includes a surcharge for delivery.,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLoH-sLiGa5Q2WgJLodqiqnxhGCHmNz2iTF9BOuLESQ-SGdI0&s,https://images.unsplash.com/photo-1610557892470-55d9e80c0bce?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1439&q=80,TRUE,110,Offsite laundry services,120,28ed7670-ac6b-4994-bfec-b7d6e72af58e
Laundry,"Provision of laundry services making use of client's machines. Note that where this has been booked, but machines are not available, this will automatically be adjusted to offsite laundry services.",,http://clipart-library.com/newhp/white-laundry-basket-clip-art-laundry-basket-clipart-black-and-white-clipground_a28f63e33793a653.jpg,https://images.unsplash.com/photo-1610557892470-55d9e80c0bce?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1439&q=80,TRUE,110,Onsite laundry services,120,2c7b7345-0596-4412-844a-b240f5a50f56
Lounge,"Maintain your upholstery (chair, couch and seat) in pristine condition. We use only the most delicate clearning methods.",40,http://clipart-library.com/images_k/carpet-cleaning-silhouette/carpet-cleaning-silhouette-12.png,https://images.unsplash.com/photo-1612696733290-a2a26ce8131c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,TRUE,,Upholstery Cleaning,60,353ba589-52e3-4a9d-8a77-ecaf89998166
Living Room,"General cleaning of living room, returning the room to its immaculate state.",,http://clipart-library.com/new_gallery/360-3603860_living-room-icon-png.png,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=958&q=80,TRUE,30,Living Room,45,70481875-0264-40c9-be3a-ea4cdf00798c
General,Wall washing to remove marks and cob webs,30,http://clipart-library.com/img/1255625.png,https://images.unsplash.com/photo-1517135399940-2855f5be7c4b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,TRUE,,Interior Walls,60,749990b3-0081-415f-8dbc-5b91a651dddb
Bedroom,Steam cleaning and disinfecting of mattresses,50,http://clipart-library.com/image_gallery/n33691.jpg,https://images.unsplash.com/photo-1640003145136-f998284e11de?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1472&q=80,TRUE,,Mattress Cleaning,45,7549674a-04c2-4c77-9c75-86f181e6f4ba
